dc_id,age,name,department
610,41,Corilla Mifflin,Burn center
611,54,Robbie Grishukhin,Physical therapy
612,78,Nonie Packman,Physical therapy
613,63,Federica Wallage,Geriatric intensive-care unit
614,84,Carlye Ferreri,Emergency department
615,73,Chaddie Bletso,Post-anesthesia care unit
616,67,Robbie Grishukhin,Hospital pharmacy
617,89,Grissel Berwick,Medical records department
618,83,Carlye Ferreri,On-call room
619,18,Elbertina Oaten,Endoscopy unit
620,36,Vania Tomasek,Psychiatric hospital
621,76,Carlye Ferreri,Emergency department
622,48,Rina Yukhnini,Acute medical unit
623,75,Shirl Norsworthy,Operating room
624,23,Abram Keach,Post-anesthesia care unit
625,61,Robbie Grishukhin,Medical records department
626,81,Nonie Packman,Intensive care unit
627,42,Reamonn Fyall,Operating room
628,9,Bjorn Fyrth,Endoscopy unit
629,35,Zorine Mordaunt,Post-anesthesia care unit
630,10,Woodie Dulake,Coronary care unit
631,26,Carlye Ferreri,Mental health Emergency Rooms
632,74,Bjorn Fyrth,Neonatal intensive care unit
633,83,Lissi Vassie,Burn center
634,39,Donella Grammer,Intensive care unit
635,47,Carlye Ferreri,Psychiatric hospital
636,9,Lissi Vassie,Endoscopy unit
637,25,Yard Sodo,Neonatal intensive care unit
638,45,Nonie Packman,Central sterile services department
639,70,Elbertina Oaten,Medical records department
640,67,Grissel Berwick,Operating room
641,44,Lissi Vassie,Intensive care unit
642,34,Robbie Grishukhin,Release of information department
643,13,Bjorn Fyrth,Emergency department
644,13,Elbertina Oaten,Geriatric intensive-care unit
645,26,Vania Tomasek,Margaret and Charles Juravinski Centre
646,5,Adair Kingzet,Release of information department
647,29,Anni Farny,Geriatric intensive-care unit
648,84,Grissel Berwick,Medical records department
649,50,Grissel Berwick,Geriatric intensive-care unit
650,3,Grissel Berwick,Physical therapy
651,74,Marquita Oty,Psychiatric hospital
652,19,Rina Yukhnini,Psychiatric hospital
653,8,Harli Lazarus,Psychiatric hospital
654,64,Grissel Berwick,Margaret and Charles Juravinski Centre
655,57,Torry O' Kelleher,Acute medical unit
656,38,Lena Roskruge,Geriatric intensive-care unit
657,5,Donella Grammer,Central sterile services department
658,52,Lena Roskruge,Endoscopy unit
659,67,Vania Tomasek,Psychiatric hospital
660,2,Lena Roskruge,Post-anesthesia care unit
661,10,Federica Wallage,"Pediatric intensive care unit,On-call room"
662,86,Torry O' Kelleher,Post-anesthesia care unit
663,56,Lena Roskruge,Burn center
664,70,Carlye Ferreri,Margaret and Charles Juravinski Centre
665,29,Marquita Oty,Mental health Emergency Rooms
666,72,Corilla Mifflin,Release of information department
667,82,Lena Roskruge,Physical therapy
668,31,Lissi Vassie,Psychiatric hospital
669,81,Rina Yukhnini,Physical therapy
670,80,Carlye Ferreri,Intensive care unit
671,61,Moises Sharpley,Release of information department
672,77,Carlye Ferreri,Endoscopy unit
673,11,Rina Yukhnini,"Pediatric intensive care unit,On-call room"
674,5,Donella Grammer,Intensive care unit
675,34,Chaddie Bletso,Endoscopy unit
676,42,Reamonn Fyall,Neonatal intensive care unit
677,82,Marquita Oty,Burn center
678,58,Lissi Vassie,Mental health Emergency Rooms
679,15,Robbie Grishukhin,Operating room
680,5,Robbie Grishukhin,Pediatric intensive care unit
681,24,Merill Busen,Central sterile services department
682,1,Zorine Mordaunt,Central sterile services department
683,50,Elbertina Oaten,Release of information department
684,39,Yard Sodo,Intensive care unit
685,64,Merill Busen,Post-anesthesia care unit
686,39,Harli Lazarus,Medical records department
687,25,Abram Keach,Margaret and Charles Juravinski Centre
688,13,Corilla Mifflin,Endoscopy unit
689,10,Nonie Packman,Post-anesthesia care unit
690,21,Grissel Berwick,Neonatal intensive care unit
691,42,Chaddie Bletso,Acute medical unit
692,83,Federica Wallage,"Pediatric intensive care unit,On-call room"
693,47,Marquita Oty,Margaret and Charles Juravinski Centre
694,35,Merill Busen,Emergency department
695,51,Zorine Mordaunt,Intensive care unit
696,11,Moises Sharpley,Acute medical unit
697,61,Corilla Mifflin,On-call room
698,78,Zorine Mordaunt,Central sterile services department
699,54,Corilla Mifflin,Psychiatric hospital
700,28,Shirl Norsworthy,Intensive care unit
701,1,Elbertina Oaten,Geriatric intensive-care unit
702,56,Corilla Mifflin,Post-anesthesia care unit
703,46,Lena Roskruge,Coronary care unit
704,7,Bjorn Fyrth,Intensive care unit
705,34,Carlye Ferreri,Post-anesthesia care unit
706,28,Nonie Packman,Neonatal intensive care unit
707,85,Corilla Mifflin,Mental health Emergency Rooms
708,40,Elbertina Oaten,Acute medical unit
709,10,Elbertina Oaten,Post-anesthesia care unit
710,74,Federica Wallage,Mental health Emergency Rooms
711,39,Carlye Ferreri,Hospital pharmacy
712,70,Harli Lazarus,Geriatric intensive-care unit
713,73,Reamonn Fyall,"On-call room, Intensive care unit"
714,20,Elbertina Oaten,Intensive care unit
715,82,Abram Keach,Margaret and Charles Juravinski Centre
716,82,Grissel Berwick,Geriatric intensive-care unit
717,89,Anni Farny,"On-call room, Intensive care unit"
718,7,Abram Keach,Mental health Emergency Rooms
719,39,Abram Keach,"On-call room, Intensive care unit"
720,7,Harli Lazarus,"Pediatric intensive care unit,On-call room"
721,71,Bjorn Fyrth,Psychiatric hospital
722,13,Anni Farny,Intensive care unit
723,86,Bjorn Fyrth,Emergency department
724,90,Lissi Vassie,Medical records department
725,19,Zorine Mordaunt,Intensive care unit
726,45,Elbertina Oaten,Geriatric intensive-care unit
727,58,Robbie Grishukhin,Coronary care unit
728,7,Moises Sharpley,Endoscopy unit
729,24,Woodie Dulake,Acute medical unit
730,35,Harli Lazarus,Physical therapy
731,1,Robbie Grishukhin,Psychiatric hospital
732,71,Merill Busen,Endoscopy unit
733,18,Federica Wallage,Acute medical unit
734,43,Marquita Oty,Psychiatric hospital
735,23,Abram Keach,Release of information department
736,11,Torry O' Kelleher,Post-anesthesia care unit
737,3,Reamonn Fyall,Medical records department
738,75,Yard Sodo,Margaret and Charles Juravinski Centre
739,16,Harli Lazarus,Medical records department
740,68,Lena Roskruge,Release of information department
741,9,Adair Kingzet,Medical records department
742,60,Lissi Vassie,Psychiatric hospital
743,78,Moises Sharpley,Medical records department
744,57,Merill Busen,Central sterile services department
745,80,Federica Wallage,Medical records department
746,11,Bjorn Fyrth,Medical records department
747,83,Lena Roskruge,Neonatal intensive care unit
748,70,Grissel Berwick,Pediatric intensive care unit
749,67,Woodie Dulake,Burn center
750,75,Torry O' Kelleher,Geriatric intensive-care unit
751,42,Anni Farny,Release of information department
752,4,Zorine Mordaunt,Emergency department
753,15,Torry O' Kelleher,Coronary care unit
754,65,Anni Farny,Hospital pharmacy
755,25,Harli Lazarus,Acute medical unit
756,76,Merill Busen,Endoscopy unit
757,38,Abram Keach,Pediatric intensive care unit
758,10,Corilla Mifflin,Medical records department
759,36,Robbie Grishukhin,Endoscopy unit
760,82,Chaddie Bletso,Post-anesthesia care unit
761,90,Harli Lazarus,Release of information department
762,53,Corilla Mifflin,Medical records department
763,41,Kelsy Goldsack,Physical therapy
764,1,Lena Roskruge,Central sterile services department
765,44,Merill Busen,Central sterile services department
766,43,Yard Sodo,Margaret and Charles Juravinski Centre
767,45,Nonie Packman,Intensive care unit
768,80,Moises Sharpley,Emergency department
769,6,Lissi Vassie,Burn center
770,54,Yard Sodo,Geriatric intensive-care unit
771,87,Zorine Mordaunt,"On-call room, Intensive care unit"
772,75,Elbertina Oaten,Margaret and Charles Juravinski Centre
773,6,Lena Roskruge,Geriatric intensive-care unit
774,79,Yard Sodo,Operating room
775,39,Elbertina Oaten,Endoscopy unit
776,59,Shirl Norsworthy,Release of information department
777,34,Donella Grammer,Psychiatric hospital
778,65,Bjorn Fyrth,Release of information department
779,80,Anni Farny,Endoscopy unit
780,72,Zorine Mordaunt,On-call room
781,31,Marquita Oty,Endoscopy unit
782,88,Anni Farny,Hospital pharmacy
783,76,Zorine Mordaunt,Intensive care unit
784,17,Elbertina Oaten,Intensive care unit
785,70,Nonie Packman,Operating room
786,65,Adair Kingzet,Intensive care unit
787,26,Grissel Berwick,Mental health Emergency Rooms
788,39,Harli Lazarus,Intensive care unit
789,82,Merill Busen,Neonatal intensive care unit
790,62,Vania Tomasek,Coronary care unit
791,26,Donella Grammer,Operating room
792,72,Donella Grammer,Operating room
793,24,Marquita Oty,Mental health Emergency Rooms
794,69,Corilla Mifflin,Geriatric intensive-care unit
795,45,Anni Farny,Central sterile services department
796,70,Corilla Mifflin,Endoscopy unit
797,59,Federica Wallage,Margaret and Charles Juravinski Centre
798,58,Woodie Dulake,Post-anesthesia care unit
799,6,Reamonn Fyall,"On-call room, Intensive care unit"
800,75,Torry O' Kelleher,Neonatal intensive care unit
801,45,Carlye Ferreri,Hospital pharmacy
802,38,Shirl Norsworthy,"Pediatric intensive care unit,On-call room"
803,41,Donella Grammer,Margaret and Charles Juravinski Centre
804,70,Rina Yukhnini,Acute medical unit
805,45,Grissel Berwick,Burn center
806,36,Rina Yukhnini,"Pediatric intensive care unit,On-call room"
807,73,Rina Yukhnini,Pediatric intensive care unit
808,21,Woodie Dulake,"Pediatric intensive care unit,On-call room"
809,9,Merill Busen,Operating room
810,90,Torry O' Kelleher,Coronary care unit
811,69,Elbertina Oaten,Release of information department
812,67,Nonie Packman,Geriatric intensive-care unit
813,71,Anni Farny,Geriatric intensive-care unit
814,57,Reamonn Fyall,Geriatric intensive-care unit
815,87,Lena Roskruge,Emergency department
816,47,Rina Yukhnini,On-call room
817,5,Abram Keach,Physical therapy
818,77,Lissi Vassie,Medical records department
819,48,Kelsy Goldsack,Mental health Emergency Rooms
820,67,Elbertina Oaten,Emergency department
821,52,Grissel Berwick,Acute medical unit
822,52,Kelsy Goldsack,Emergency department
823,16,Anni Farny,Burn center
824,56,Lena Roskruge,Intensive care unit
825,9,Lena Roskruge,Central sterile services department
826,37,Anni Farny,Release of information department
827,78,Reamonn Fyall,Central sterile services department
828,85,Marquita Oty,"Pediatric intensive care unit,On-call room"
829,62,Reamonn Fyall,Psychiatric hospital
830,47,Merill Busen,Coronary care unit
831,65,Abram Keach,Coronary care unit
832,6,Adair Kingzet,Release of information department
833,82,Donella Grammer,"On-call room, Intensive care unit"
834,10,Chaddie Bletso,Release of information department
835,83,Woodie Dulake,Intensive care unit
836,24,Torry O' Kelleher,Geriatric intensive-care unit
837,18,Shirl Norsworthy,Emergency department
838,1,Chaddie Bletso,Post-anesthesia care unit
839,14,Bjorn Fyrth,Pediatric intensive care unit
840,36,Federica Wallage,Coronary care unit
841,47,Robbie Grishukhin,Endoscopy unit
842,40,Rina Yukhnini,Operating room
843,50,Robbie Grishukhin,On-call room
844,38,Lissi Vassie,Psychiatric hospital
845,87,Yard Sodo,Hospital pharmacy
846,29,Yard Sodo,Mental health Emergency Rooms
847,36,Torry O' Kelleher,Margaret and Charles Juravinski Centre
848,9,Federica Wallage,Intensive care unit
849,84,Zorine Mordaunt,Coronary care unit
850,3,Lena Roskruge,Emergency department
851,89,Adair Kingzet,Neonatal intensive care unit
852,80,Rina Yukhnini,Geriatric intensive-care unit
853,8,Chaddie Bletso,Acute medical unit
854,15,Grissel Berwick,"Pediatric intensive care unit,On-call room"
855,45,Reamonn Fyall,Physical therapy
856,87,Lissi Vassie,Medical records department
857,87,Bjorn Fyrth,Mental health Emergency Rooms
858,28,Harli Lazarus,On-call room
859,20,Robbie Grishukhin,"Pediatric intensive care unit,On-call room"
860,46,Elbertina Oaten,Margaret and Charles Juravinski Centre
861,87,Bjorn Fyrth,Pediatric intensive care unit
862,4,Nonie Packman,Medical records department
863,90,Woodie Dulake,Endoscopy unit
864,87,Reamonn Fyall,Post-anesthesia care unit
865,12,Abram Keach,Neonatal intensive care unit
866,3,Elbertina Oaten,On-call room
867,39,Carlye Ferreri,On-call room
868,22,Woodie Dulake,Emergency department
869,87,Nonie Packman,Psychiatric hospital
870,82,Elbertina Oaten,"On-call room, Intensive care unit"
871,4,Marquita Oty,Neonatal intensive care unit
872,20,Kelsy Goldsack,Margaret and Charles Juravinski Centre
873,12,Donella Grammer,Coronary care unit
874,84,Donella Grammer,"Pediatric intensive care unit,On-call room"
875,48,Shirl Norsworthy,Neonatal intensive care unit
876,84,Grissel Berwick,Medical records department
877,25,Elbertina Oaten,On-call room
878,20,Reamonn Fyall,"On-call room, Intensive care unit"
879,67,Shirl Norsworthy,Pediatric intensive care unit
880,68,Adair Kingzet,Psychiatric hospital
881,62,Lissi Vassie,Emergency department
882,14,Vania Tomasek,Intensive care unit
883,58,Shirl Norsworthy,On-call room
884,12,Zorine Mordaunt,Intensive care unit
885,85,Bjorn Fyrth,"Pediatric intensive care unit,On-call room"
886,77,Moises Sharpley,Mental health Emergency Rooms
887,71,Lena Roskruge,On-call room
888,12,Marquita Oty,Hospital pharmacy
889,83,Federica Wallage,On-call room
890,33,Carlye Ferreri,Post-anesthesia care unit
891,38,Lissi Vassie,Physical therapy
892,69,Vania Tomasek,Psychiatric hospital
893,30,Grissel Berwick,Hospital pharmacy
894,47,Federica Wallage,"On-call room, Intensive care unit"
895,48,Adair Kingzet,"On-call room, Intensive care unit"
896,34,Elbertina Oaten,Geriatric intensive-care unit
897,72,Donella Grammer,Release of information department
898,71,Lissi Vassie,Geriatric intensive-care unit
899,76,Reamonn Fyall,Release of information department
900,3,Reamonn Fyall,Neonatal intensive care unit
901,50,Yard Sodo,Burn center
902,59,Bjorn Fyrth,Coronary care unit
903,71,Rina Yukhnini,Acute medical unit
904,58,Grissel Berwick,Mental health Emergency Rooms
905,30,Woodie Dulake,Release of information department
906,57,Federica Wallage,Psychiatric hospital
907,84,Merill Busen,Post-anesthesia care unit
908,75,Kelsy Goldsack,Hospital pharmacy
909,60,Lena Roskruge,Medical records department
910,74,Merill Busen,Psychiatric hospital
911,8,Carlye Ferreri,"Pediatric intensive care unit,On-call room"
912,28,Shirl Norsworthy,Medical records department
913,9,Donella Grammer,Acute medical unit
914,3,Merill Busen,Hospital pharmacy
915,37,Shirl Norsworthy,Neonatal intensive care unit
916,44,Woodie Dulake,Intensive care unit
917,54,Rina Yukhnini,Release of information department
918,35,Donella Grammer,Geriatric intensive-care unit
919,3,Rina Yukhnini,Operating room
920,3,Donella Grammer,"On-call room, Intensive care unit"
921,30,Abram Keach,Hospital pharmacy
922,58,Shirl Norsworthy,Intensive care unit
923,6,Adair Kingzet,Margaret and Charles Juravinski Centre
924,6,Abram Keach,Acute medical unit
925,29,Adair Kingzet,Release of information department
926,87,Lissi Vassie,Release of information department
927,38,Corilla Mifflin,Geriatric intensive-care unit
928,16,Shirl Norsworthy,Medical records department
929,74,Robbie Grishukhin,Mental health Emergency Rooms
930,55,Kelsy Goldsack,"On-call room, Intensive care unit"
931,7,Woodie Dulake,On-call room
932,71,Zorine Mordaunt,Acute medical unit
933,7,Torry O' Kelleher,Medical records department
934,27,Rina Yukhnini,Central sterile services department
935,54,Corilla Mifflin,Neonatal intensive care unit
936,36,Adair Kingzet,Physical therapy
937,47,Carlye Ferreri,"Pediatric intensive care unit,On-call room"
938,63,Torry O' Kelleher,Margaret and Charles Juravinski Centre
939,26,Corilla Mifflin,Mental health Emergency Rooms
940,23,Shirl Norsworthy,Post-anesthesia care unit
941,72,Chaddie Bletso,Mental health Emergency Rooms
942,22,Moises Sharpley,Hospital pharmacy
943,17,Lena Roskruge,Hospital pharmacy
944,53,Elbertina Oaten,Emergency department
945,27,Elbertina Oaten,Neonatal intensive care unit
946,23,Torry O' Kelleher,"Pediatric intensive care unit,On-call room"
947,48,Woodie Dulake,Neonatal intensive care unit
948,73,Harli Lazarus,Operating room
949,4,Grissel Berwick,On-call room
950,74,Rina Yukhnini,Burn center
951,49,Torry O' Kelleher,On-call room
952,56,Carlye Ferreri,Coronary care unit
953,72,Lissi Vassie,Operating room
954,72,Donella Grammer,Acute medical unit
955,81,Moises Sharpley,Coronary care unit
956,59,Reamonn Fyall,Central sterile services department
957,15,Lena Roskruge,Margaret and Charles Juravinski Centre
958,49,Anni Farny,Release of information department
959,62,Adair Kingzet,Coronary care unit
960,79,Rina Yukhnini,"Pediatric intensive care unit,On-call room"
961,4,Merill Busen,Margaret and Charles Juravinski Centre
962,66,Abram Keach,Acute medical unit
963,61,Bjorn Fyrth,Emergency department
964,21,Woodie Dulake,Acute medical unit
965,41,Donella Grammer,Release of information department
966,32,Merill Busen,Geriatric intensive-care unit
967,66,Corilla Mifflin,On-call room
968,2,Corilla Mifflin,Burn center
969,62,Robbie Grishukhin,Central sterile services department
970,67,Torry O' Kelleher,Endoscopy unit
971,82,Shirl Norsworthy,Operating room
972,44,Lena Roskruge,"Pediatric intensive care unit,On-call room"
973,63,Lena Roskruge,On-call room
974,11,Reamonn Fyall,"Pediatric intensive care unit,On-call room"
975,6,Abram Keach,Endoscopy unit
976,54,Reamonn Fyall,Endoscopy unit
977,58,Donella Grammer,Neonatal intensive care unit
978,29,Elbertina Oaten,Margaret and Charles Juravinski Centre
979,86,Kelsy Goldsack,Physical therapy
980,77,Adair Kingzet,Endoscopy unit
981,3,Lena Roskruge,"On-call room, Intensive care unit"
982,58,Federica Wallage,Burn center
983,23,Grissel Berwick,Pediatric intensive care unit
984,71,Merill Busen,Margaret and Charles Juravinski Centre
985,67,Bjorn Fyrth,"On-call room, Intensive care unit"
986,86,Bjorn Fyrth,Endoscopy unit
987,37,Torry O' Kelleher,Operating room
988,19,Grissel Berwick,Central sterile services department
989,60,Shirl Norsworthy,Psychiatric hospital
990,52,Elbertina Oaten,Acute medical unit
991,62,Woodie Dulake,Geriatric intensive-care unit
992,71,Corilla Mifflin,Emergency department
993,2,Shirl Norsworthy,Acute medical unit
994,56,Chaddie Bletso,Operating room
995,25,Corilla Mifflin,Central sterile services department
996,89,Yard Sodo,Geriatric intensive-care unit
997,63,Vania Tomasek,Release of information department
998,67,Rina Yukhnini,Hospital pharmacy
999,29,Moises Sharpley,Physical therapy
1000,55,Lena Roskruge,Pediatric intensive care unit
